ID_shower,E0,theta0,Nmuons,Class
11870.00000,68899.24219,   0.00000,1244.00000,   0.00000
11871.00000,71938.82812,   0.00000,1586.00000,   0.00000
23324.00000,33980.10938,   0.00000, 806.00000,   0.00000
23325.00000,26159.22070,   0.00000, 604.00000,   0.00000
23326.00000,32166.33008,   0.00000, 785.00000,   0.00000
23327.00000,31689.56055,   0.00000, 656.00000,   0.00000
23328.00000,25866.77930,   0.00000, 732.00000,   0.00000
23329.00000,36604.60938,   0.00000, 851.00000,   0.00000
23330.00000,29726.32031,   0.00000, 690.00000,   0.00000
18039.00000,83381.15625,   0.00000,1806.00000,   0.00000
18040.00000,72234.36719,   0.00000,1569.00000,   0.00000
18041.00000,65543.59375,   0.00000,1618.00000,   0.00000
18042.00000,77656.10156,   0.00000,1505.00000,   0.00000
18043.00000,63331.53125,   0.00000,1179.00000,   0.00000
18044.00000,68839.59375,   0.00000,1479.00000,   0.00000
18045.00000,68090.00781,   0.00000,1450.00000,   0.00000
25340.00000,23744.15039,   0.00000, 615.00000,   0.00000
25341.00000,24788.83984,   0.00000, 565.00000,   0.00000
25342.00000,21196.33008,   0.00000, 601.00000,   0.00000
25343.00000,18776.57031,   0.00000, 514.00000,   0.00000
25344.00000,18692.72070,   0.00000, 444.00000,   0.00000
25345.00000,21881.05078,   0.00000, 570.00000,   0.00000
25346.00000,18878.05078,   0.00000, 398.00000,   0.00000
19516.00000,8707.40039,   0.00000, 212.00000,   0.00000
19517.00000,8701.87012,   0.00000, 287.00000,   0.00000
19518.00000,6639.91992,   0.00000, 196.00000,   0.00000
19519.00000,6574.75977,   0.00000, 176.00000,   0.00000
19520.00000,8322.24023,   0.00000, 203.00000,   0.00000
19521.00000,7662.31006,   0.00000, 176.00000,   0.00000
19522.00000,8941.00000,   0.00000, 246.00000,   0.00000
2702.00000,6882.77979,   0.00000, 206.00000,   0.00000
2703.00000,6602.12012,   0.00000, 183.00000,   0.00000
2704.00000,8271.61035,   0.00000, 220.00000,   0.00000
2705.00000,6384.56982,   0.00000, 192.00000,   0.00000
2706.00000,8543.62988,   0.00000, 221.00000,   0.00000
2707.00000,8676.73047,   0.00000, 308.00000,   0.00000
2708.00000,9997.57031,   0.00000, 213.00000,   0.00000
5677.00000,35501.08984,   0.00000, 690.00000,   0.00000
5678.00000,26700.88086,   0.00000, 576.00000,   0.00000
5679.00000,36321.17969,   0.00000, 801.00000,   0.00000
5680.00000,29161.92969,   0.00000, 729.00000,   0.00000
5681.00000,31291.11914,   0.00000, 561.00000,   0.00000
5682.00000,27140.33984,   0.00000, 606.00000,   0.00000
5683.00000,35936.94141,   0.00000, 707.00000,   0.00000
14980.00000,10335.45996,   0.00000, 296.00000,   0.00000
14981.00000,12377.00000,   0.00000, 302.00000,   0.00000
14982.00000,14513.05957,   0.00000, 285.00000,   0.00000
14983.00000,10133.16992,   0.00000, 177.00000,   0.00000
14984.00000,15553.37988,   0.00000, 437.00000,   0.00000
14985.00000,10965.55957,   0.00000, 265.00000,   0.00000
14986.00000,10012.37988,   0.00000, 357.00000,   0.00000
24899.00000,60258.10938,   0.00000,1437.00000,   0.00000
24900.00000,46626.89062,   0.00000,1102.00000,   0.00000
24901.00000,62323.48828,   0.00000,1322.00000,   0.00000
24902.00000,40545.83984,   0.00000,1159.00000,   0.00000
24903.00000,39827.92969,   0.00000, 782.00000,   0.00000
24904.00000,54957.42969,   0.00000,1225.00000,   0.00000
24905.00000,47594.42188,   0.00000,1113.00000,   0.00000
12880.00000,13375.44043,   0.00000, 370.00000,   0.00000
12881.00000,14389.59961,   0.00000, 401.00000,   0.00000
12882.00000,11737.26953,   0.00000, 335.00000,   0.00000
12883.00000,12849.09961,   0.00000, 376.00000,   0.00000
12884.00000,14996.57031,   0.00000, 420.00000,   0.00000
12885.00000,13375.54004,   0.00000, 258.00000,   0.00000
12886.00000,12928.80957,   0.00000, 381.00000,   0.00000
11697.00000,12841.32031,   0.00000, 323.00000,   0.00000
11698.00000,15113.00977,   0.00000, 406.00000,   0.00000
11699.00000,10190.04004,   0.00000, 309.00000,   0.00000
11700.00000,12606.08008,   0.00000, 319.00000,   0.00000
11701.00000,12945.58984,   0.00000, 363.00000,   0.00000
11702.00000,15598.30957,   0.00000, 340.00000,   0.00000
11703.00000,15729.12988,   0.00000, 430.00000,   0.00000
29463.00000,14248.87988,   0.00000, 348.00000,   0.00000
29464.00000,10642.98047,   0.00000, 284.00000,   0.00000
29465.00000,11256.24023,   0.00000, 326.00000,   0.00000
29466.00000,14538.94043,   0.00000, 490.00000,   0.00000
29467.00000,12762.82031,   0.00000, 321.00000,   0.00000
29468.00000,11199.66992,   0.00000, 328.00000,   0.00000
29469.00000,12226.33008,   0.00000, 395.00000,   0.00000
8533.00000,5151.60010,   0.00000, 138.00000,   0.00000
8534.00000,5898.45996,   0.00000, 191.00000,   0.00000
8535.00000,5499.18994,   0.00000, 174.00000,   0.00000
8536.00000,6005.68018,   0.00000, 129.00000,   0.00000
8537.00000,5844.20020,   0.00000, 147.00000,   0.00000
8538.00000,5056.27979,   0.00000, 100.00000,   0.00000
